"","name","father","stock","glottocode","iso","wals","level","longitude","latitude","population"
"bikw1235","Bikwin-Jen","Waja-Jen","Atlantic-Congo","bikw1235",NA,NA,"family",NA,NA,NA
"bikw1236","Bikwin","Bikwin-Jen","Atlantic-Congo","bikw1236",NA,NA,"family",NA,NA,NA
"biky1238","Bikya","Beboid","Atlantic-Congo","biky1238","byb",NA,"language",10.5333,6.74997,NA
"bila1253","Bilaspuri","Chamealic","Indo-European","bila1253","kfs",NA,"language",76.6739,31.3842,295387
"bila1254","Bila [Tsonga]","Tsonga","Atlantic-Congo","bila1254",NA,NA,"dialect",NA,NA,NA
"bila1255","Bila","Bila-Kaiku","Atlantic-Congo","bila1255","bip","bia","language",28.7626,1.16839,40000
"bila1256","Bilala","Naba","Central Sudanic","bila1256",NA,NA,"dialect",NA,NA,NA
"bila1257","Bilakura","Yaben-Bilakura","Nuclear Trans New Guinea","bila1257","bql",NA,"language",145.559,-4.93116,30
"bila1258","Bilaic","Komoic","Atlantic-Congo","bila1258",NA,NA,"family",NA,NA,NA
"bila1259","Bila-Kaiku","Bilaic","Atlantic-Congo","bila1259",NA,NA,"family",NA,NA,NA
"bilb1241","Bilbil","Nuclear Bel","Austronesian","bilb1241","brz",NA,"language",145.764,-5.26505,1246
"bilb1242","Bilba","Nuclear Rotinese","Austronesian","bilb1242","bpz",NA,"language",123.307,-10.6503,NA
"bile1243","Bilembo-Mango","Lega-Mwenga","Atlantic-Congo","bile1243",NA,NA,"dialect",NA,NA,NA
"bile1244","Bile","Numan","Atlantic-Congo","bile1244","bil",NA,"language",11.1907,8.90052,30000
"bile1245","Bileki","Nakanai","Austronesian","bile1245",NA,NA,"dialect",NA,NA,NA
"bili1249","Bilichi","Paku Karen","Sino-Tibetan","bili1249",NA,NA,"dialect",NA,NA,NA
"bili1250","Bilinara","Ngarinman","Pama-Nyungan","bili1250",NA,NA,"dialect",NA,NA,NA
"bili1251","Bili","Mono [Democratic Republic of Congo]","Atlantic-Congo","bili1251",NA,NA,"dialect",NA,NA,NA
"bili1252","Biliau","Awad Bing","Austronesian","bili1252",NA,NA,"dialect",NA,NA,NA
"bili1253","Bilic","Malayo-Polynesian","Austronesian","bili1253",NA,NA,"family",NA,NA,NA
"bili1259","Biliri","Nuclear Tangale","Afro-Asiatic","bili1259",NA,NA,"dialect",NA,NA,NA
"bili1260","Bilin","Northeastern Agaw","Afro-Asiatic","bili1260","byn","bln","language",38.3917,15.7833,91000
"bilk1238","Bilkire Fulani","Adamawa Fulfulde","Atlantic-Congo","bilk1238",NA,NA,"dialect",NA,NA,NA
"bill1238","Bil","Semai","Austroasiatic","bill1238",NA,NA,"dialect",NA,NA,NA
"bilm1238","Bilma Kanuri","East Kanuri","Saharan","bilm1238","bms",NA,"language",13.0665,19.1,NA
"bilm1239","Bilma","Bilma Kanuri","Saharan","bilm1239",NA,NA,"dialect",NA,NA,NA
"bilo1247","Biloxi-Ofo","Southeastern Siouan","Siouan","bilo1247",NA,NA,"family",NA,NA,NA
"bilo1248","Biloxi","Biloxi-Ofo","Siouan","bilo1248","bll","blx","language",-89.1951,31.32,0
"bilu1244","Bilur","Label-Bilur","Austronesian","bilu1244","bxf",NA,"language",152.334,-4.39732,2304
"bilu1245","Bilua","Sahul","Bilua","bilu1245","blb","bil","language",156.663,-7.92388,8740
"bima1245","Bima [oroko]","Oroko","Atlantic-Congo","bima1245",NA,NA,"dialect",NA,NA,NA
"bima1247","Bima","Central Malayo-Polynesian","Austronesian","bima1247","bhp","bim","language",118.445,-8.57376,5e+05
"bime1239","Bime","Ketengban","Nuclear Trans New Guinea","bime1239",NA,NA,"dialect",NA,NA,NA
"bimi1240","Bimin","Mountain Ok","Nuclear Trans New Guinea","bimi1240","bhl",NA,"language",142.04,-5.38732,2250
"bimm1238","Bim","Bimin","Nuclear Trans New Guinea","bimm1238",NA,NA,"dialect",NA,NA,NA
"bimo1239","Bimoba","Moba-Bimoba","Atlantic-Congo","bimo1239","bim","bmb","language",0.06121,10.4575,120000
"bina1270","Bina [Nigeria]","Kauru","Atlantic-Congo","bina1270","byj",NA,"language",8.19726,10.2868,7000
"bina1271","Bina [Papua New Guinea]","Magoric","Austronesian","bina1271","bmn",NA,"language",149.661,-10.2667,0
"bina1272","Binatang","Basap","Austronesian","bina1272",NA,NA,"dialect",NA,NA,NA
"bina1273","Binaharic","Mailuan","Mailuan","bina1273",NA,NA,"family",NA,NA,NA
"bina1274","Binahari-Ma","Binaharic","Mailuan","bina1274",NA,NA,"language",NA,NA,NA
"bina1275","Binahari","Binaharic","Mailuan","bina1275","bxz",NA,"language",148.835,-10.0874,630
"bina1276","Greater Binanderean","Nuclear Trans New Guinea","Nuclear Trans New Guinea","bina1276",NA,NA,"family",NA,NA,NA
"bina1277","Binandere","Nuclear Binanderean","Nuclear Trans New Guinea","bina1277","bhg","bin","language",147.884,-8.37433,7000
"bina1278","Binandere Proper","Binandere","Nuclear Trans New Guinea","bina1278",NA,NA,"dialect",NA,NA,NA
"bina1279","Binanderean","Greater Binanderean","Nuclear Trans New Guinea","bina1279",NA,NA,"family",NA,NA,NA
"binb1241","Binbinka","Gudanji","Mirndi","binb1241",NA,NA,"dialect",NA,NA,NA
"binb1242","Binbinga","Wambaya","Mirndi","binb1242",NA,NA,"dialect",NA,NA,NA
"bind1234","Bindal-Cunningham","Bindalic","Pama-Nyungan","bind1234",NA,NA,"language",NA,NA,NA
"bind1235","Bindal-Gorton","Bindalic","Pama-Nyungan","bind1235",NA,NA,"language",NA,NA,NA
"bind1236","Bindal-Mount Elliot","Bindalic","Pama-Nyungan","bind1236",NA,NA,"language",NA,NA,NA
"bind1237","Bindalic","Unclassified Greater Maric","Pama-Nyungan","bind1237",NA,NA,"family",NA,NA,NA
"bine1240","Bine","Eastern Trans-Fly","Eastern Trans-Fly","bine1240","bon",NA,"language",142.893,-9.08879,2000
"bing1247","Bingird","Central Kurdish","Indo-European","bing1247",NA,NA,"dialect",NA,NA,NA
"bing1248","Binga","Yulu","Central Sudanic","bing1248",NA,NA,"dialect",NA,NA,NA
"bini1245","Bini [Anyin]","Anyin","Atlantic-Congo","bini1245",NA,NA,"dialect",NA,NA,NA
"bini1246","Bini","Central Plains Edoid","Atlantic-Congo","bini1246","bin","bni","language",5.70426,6.40701,1e+06
"binj1247","Binjhwari","Chhattisgarhi","Indo-European","binj1247",NA,NA,"dialect",NA,NA,NA
"binj1248","Binja [Zimba]","Zimba","Atlantic-Congo","binj1248",NA,NA,"dialect",NA,NA,NA
"binj1249","Binji","Mbagani-Lwalwa","Atlantic-Congo","binj1249","bpj",NA,"language",21.7,-6.7,165000
"binj1250","Binja","Ngombe [Democratic Republic of Congo]","Atlantic-Congo","binj1250",NA,NA,"dialect",NA,NA,NA
"binl1237","Binli","Hanunoo","Austronesian","binl1237",NA,NA,"dialect",NA,NA,NA
"bino1237","Binongan Itneg","Itneg","Austronesian","bino1237","itb",NA,"language",120.876,17.5972,7500
"bino1238","Binongko","Tukang Besi South","Austronesian","bino1238",NA,NA,"dialect",NA,NA,NA
"bint1244","Bintuni","Wandamen","Austronesian","bint1244",NA,NA,"dialect",NA,NA,NA
"bint1245","Bintauna","Gorontalic","Austronesian","bint1245","bne",NA,"language",123.486,0.75069,12000
"bint1246","Bintulu","North Sarawakan","Austronesian","bint1246","bny",NA,"language",113.634,3.867,4200
"binu1244","Binukid","Bukidnon","Austronesian","binu1244","bkd","bkd","language",124.892,8.15933,1e+05
"binu1245","Binumarien","Tairora [tair1260]","Nuclear Trans New Guinea","binu1245","bjr","bnm","language",146.102,-6.22068,360
"bipi1237","Bipi","West Manus I","Austronesian","bipi1237","biq",NA,"language",146.398,-2.11115,1200
"bira1250","Birar","Nanai","Tungusic","bira1250",NA,NA,"dialect",NA,NA,NA
"bira1253","Ongota","Africa","Ongota","bira1253","bxe",NA,"language",37.025,5.29807,19
"bira1254","Birao","Southeast Guadalcanal","Austronesian","bira1254","brr",NA,"language",160.52,-9.73716,5900
"bira1255","Birarie","Nuclear Barai","Koiarian","bira1255",NA,NA,"dialect",NA,NA,NA
"birg1239","Birgit","Birgit-Mogum-Toram","Afro-Asiatic","birg1239","btf",NA,"language",19.8182,12.0228,10398
"birg1240","Birgit-Mogum-Toram","Dangla-Mabire-Birgit","Afro-Asiatic","birg1240",NA,NA,"family",NA,NA,NA
"birh1242","Birhor","Mundaric","Austroasiatic","birh1242","biy",NA,"language",85.5611,23.585,10000
"biri1256","Biri","Eastern Maric","Pama-Nyungan","biri1256","bzr","bii","language",146.67,-20.1494,0
"biri1257","Birifor [biri1257]","North-West Dagaric","Atlantic-Congo","biri1257",NA,NA,"family",NA,NA,NA
"biri1258","Birifor [biri1258]","Malba Birifor","Atlantic-Congo","biri1258",NA,NA,"dialect",NA,NA,NA
"biri1259","Biritai","Eritai-Obokuitai-Biritai","Lakes Plain","biri1259","bqq",NA,"language",137.68,-2.92042,250
"birk1242","Birked","Central Nubian","Nubian","birk1242","brk",NA,"language",24.83,12.5,0
"birk1246","Birkai","Karekare","Afro-Asiatic","birk1246",NA,NA,"dialect",NA,NA,NA
"birr1240","Birri","Africa","Birri","birr1240","bvq","brz","language",27.0842,5.3328,200
"birw1238","Birwa","Northern Sotho","Atlantic-Congo","birw1238","brl",NA,"language",28.33,-22.17,15000
"bisa1262","Bisa-Lamba [M.50]","Southern Sabi","Atlantic-Congo","bisa1262",NA,NA,"family",NA,NA,NA
"bisa1264","Bisa","Lala-Bisa","Atlantic-Congo","bisa1264",NA,NA,"dialect",NA,NA,NA
"bisa1265","Bisa-Busa","Eastern Mande","Mande","bisa1265",NA,NA,"family",NA,NA,NA
"bisa1268","Bisayan","Central Philippine","Austronesian","bisa1268",NA,NA,"family",NA,NA,NA
"bisa1270","Bisaya-Lotud","Greater Dusunic","Austronesian","bisa1270",NA,NA,"family",NA,NA,NA
"bisc1236","Biscayan","Basque","Basque","bisc1236",NA,NA,"dialect",NA,NA,NA
"bise1238","Biseni","Inland Ijo","Ijoid","bise1238","ije",NA,"language",6.51646,5.40296,4800
"bish1244","Bishnupriya","Gauda-Banga","Indo-European","bish1244","bpy",NA,"language",92.0157,24.4578,115000
"bish1245","Bishiri","Obanliku","Atlantic-Congo","bish1245",NA,NA,"dialect",NA,NA,NA
"bish1246","Bishuo","Southern Bantoid","Atlantic-Congo","bish1246","bwh",NA,"language",9.79396,6.67251,NA
"bish1251","Bisharin","Beja","Afro-Asiatic","bish1251",NA,NA,"dialect",NA,NA,NA
"bisi1243","Bisiacco","Venetian","Indo-European","bisi1243",NA,NA,"dialect",NA,NA,NA
"bisi1244","Bisis","Nuclear Central Sepik Hill","Sepik","bisi1244","bnw",NA,"language",143.058,-4.46238,450
"bisl1239","Bislama","Early Melanesian Pidgin","Indo-European","bisl1239","bis","bsm","language",167.372,-19.991,NA
"biso1241","Bisoid","Bisoid-Hanic","Sino-Tibetan","biso1241",NA,NA,"family",NA,NA,NA
"biso1242","Bisoo","Bakoko","Atlantic-Congo","biso1242",NA,NA,"dialect",NA,NA,NA
"biso1243","Bisorio","Outer Enga","Nuclear Trans New Guinea","biso1243","bir",NA,"language",143.213,-4.77763,255
"biso1244","Bisoid-Hanic","Hani-Jino","Sino-Tibetan","biso1244",NA,NA,"family",NA,NA,NA
"biss1247","Bissaula","Kpan","Atlantic-Congo","biss1247",NA,NA,"dialect",NA,NA,NA
"biss1248","Bissa","Bisa-Busa","Mande","biss1248","bib","bis","language",-1.67332,10.4257,581900
"biss1249","Bissau-Bolama Creole","Upper Guinea Crioulo","Indo-European","biss1249",NA,NA,"dialect",NA,NA,NA
"bisu1244","Bisu","Bisu-Pyen-Laomian","Sino-Tibetan","bisu1244","bzi",NA,"language",99.9862,20.8542,NA
"bisu1245","Bisu [Atlantic-Congo]","Obanliku","Atlantic-Congo","bisu1245",NA,NA,"dialect",NA,NA,NA
"bisu1246","Bisu-Pyen-Laomian","Bisoid","Sino-Tibetan","bisu1246",NA,"biu","family",NA,NA,NA
"bita1250","Bitaapul","Ntcham","Atlantic-Congo","bita1250",NA,NA,"dialect",NA,NA,NA
"bita1251","Bitare","North Tivoid","Atlantic-Congo","bita1251","brt",NA,"language",11.3072,6.87398,52330
"bita1252","Bitama","Kunama","Kunama","bita1252",NA,NA,"dialect",NA,NA,NA
"bita1253","Bitara","Berinomo","Sepik","bita1253",NA,NA,"dialect",NA,NA,NA
"biti1244","Bitinkoore","Western Niger Fulfulde","Atlantic-Congo","biti1244",NA,NA,"dialect",NA,NA,NA
"biti1245","Bitieku","Denya","Atlantic-Congo","biti1245",NA,NA,"dialect",NA,NA,NA
"biti1246","Biti","Morokodo","Central Sudanic","biti1246",NA,NA,"dialect",NA,NA,NA
"bitt1240","Bit","Khao-Bit","Austroasiatic","bitt1240","bgk",NA,"language",101.916,21.3474,1730
"bitu1241","Bitui","Ndaktup","Atlantic-Congo","bitu1241",NA,NA,"dialect",NA,NA,NA
"bitu1242","Bitur","Nuclear Tirio","Anim","bitu1242","mcc",NA,"language",142.71,-8.51839,856
"bium1270","Biu-Mandara A A.2 2","Bura-Marghi","Afro-Asiatic","bium1270",NA,NA,"family",NA,NA,NA
"bium1271","Biu-Mandara A A.8","South Biu-Mandara","Afro-Asiatic","bium1271",NA,NA,"family",NA,NA,NA
"bium1274","Biu-Mandara A A.7","South Biu-Mandara","Afro-Asiatic","bium1274",NA,NA,"family",NA,NA,NA
"bium1275","Biu-Mandara A A.1","South Biu-Mandara","Afro-Asiatic","bium1275",NA,NA,"family",NA,NA,NA
"bium1279","Biu-Mandara B B.2","Musgu-Kotoko","Afro-Asiatic","bium1279",NA,NA,"family",NA,NA,NA
"bium1280","Biu-Mandara","Chadic","Afro-Asiatic","bium1280",NA,NA,"family",NA,NA,NA
"biwa1242","Biwangan","Maguindanao","Austronesian","biwa1242",NA,NA,"dialect",NA,NA,NA
"biwa1243","Biwat","Bun-Mundukumo","Yuat","biwa1243","bwm",NA,"language",143.873,-4.39429,3042
"biyo1243","Biyo","Bi-Ka","Sino-Tibetan","biyo1243","byo",NA,"language",101.652,22.511,120000
"biyo1244","Biyom","Unclassified Rai Coast","Nuclear Trans New Guinea","biyo1244","bpm",NA,"language",145.348,-5.79929,379
"blaa1241","Blaan","Tboli-Blaan","Austronesian","blaa1241",NA,NA,"family",NA,NA,NA
"blab1237","Blablanga","Zazao-Blanga","Austronesian","blab1237","blp",NA,"language",159.419,-8.15058,1772
"blac1266","Black Nogai","Nogai","Turkic","blac1266",NA,NA,"dialect",NA,NA,NA
"blac1267","Black Lisu","Lisu","Sino-Tibetan","blac1267",NA,NA,"dialect",NA,NA,NA
"blac1268","Black Khoany","Phunoi","Sino-Tibetan","blac1268",NA,NA,"dialect",NA,NA,NA
"blac1269","Black Tai","Southwestern Tai P","Tai-Kadai","blac1269",NA,NA,"family",NA,NA,NA
"blac1270","Black Bolon","Bolon","Mande","blac1270",NA,NA,"dialect",NA,NA,NA
"blaf1238","Blafe","Tonda","Morehead-Wasur","blaf1238","bfh",NA,"language",141.226,-8.56161,667
"blag1240","Blagar","Blagaric","Timor-Alor-Pantar","blag1240","beu",NA,"language",124.251,-8.31787,11000
"blag1241","Blagaric","Straits West Alor","Timor-Alor-Pantar","blag1241",NA,NA,"family",NA,NA,NA
"blan1242","Blang","Bulangic","Austroasiatic","blan1242","blr",NA,"language",99.7405,22.0092,55200
"blek1238","Blekingska","Scanian","Indo-European","blek1238",NA,NA,"dialect",NA,NA,NA
"blis1238","Bliss","Jola-Kasa","Atlantic-Congo","blis1238",NA,NA,"dialect",NA,NA,NA
"blit1237","Blit","Cotabato Manobo","Austronesian","blit1237",NA,NA,"dialect",NA,NA,NA
"bloo1239","Blood","Siksika","Algic","bloo1239",NA,NA,"dialect",NA,NA,NA
"bloo1242","Blo","Rade","Austronesian","bloo1242",NA,NA,"dialect",NA,NA,NA
"blow1238","Blowo","Dan","Mande","blow1238",NA,NA,"dialect",NA,NA,NA
"boan1242","Boano [Maluku]","East Hoamoal","Austronesian","boan1242","bzn",NA,"language",127.953,-2.95535,3240
"boan1243","Boano [Sulawesi]","Tolitoli","Austronesian","boan1243","bzl",NA,"language",120.992,0.51152,2700
"boan1244","Boëng","Tobelo","North Halmahera","boan1244",NA,NA,"dialect",NA,NA,NA
"boan1245","Boana","Erap","Nuclear Trans New Guinea","boan1245",NA,NA,"family",NA,NA,NA
"boaz1244","Boazi","Marind","Anim","boaz1244",NA,NA,"family",NA,NA,NA
"boba1246","Bobar","Jarawa [Nigeria]","Atlantic-Congo","boba1246",NA,NA,"dialect",NA,NA,NA
"boba1247","Bobasan","Gayo","Austronesian","boba1247",NA,NA,"dialect",NA,NA,NA
"boba1248","Bobangic","Ngiri Riverain Ubangi-Ripuaire","Atlantic-Congo","boba1248",NA,NA,"family",NA,NA,NA
"boba1249","Bobangic Riverain","Bobangic","Atlantic-Congo","boba1249",NA,NA,"family",NA,NA,NA
"boba1250","Bobangi-Bangala-Lingala","Bobangic Riverain","Atlantic-Congo","boba1250",NA,NA,"family",NA,NA,NA
"bobi1238","Bobili","Pomo","Atlantic-Congo","bobi1238",NA,NA,"dialect",NA,NA,NA
"bobo1253","Bobo","Duun-Bobo","Mande","bobo1253",NA,NA,"family",NA,NA,NA
"bobo1254","Bobot","East Rivers Seram","Austronesian","bobo1254","bty",NA,"language",130.179,-3.43514,4500
"bobo1255","Bobongko","Saluanic","Austronesian","bobo1255","bgb",NA,"language",121.922,-0.36759,NA
"boca1235","Bo-Cari","Northern Great Andamanese","Great Andamanese","boca1235",NA,NA,"family",NA,NA,NA
"boch1238","Bocha","Manyika","Atlantic-Congo","boch1238",NA,NA,"dialect",NA,NA,NA
"bode1245","Bodele","Yasa","Atlantic-Congo","bode1245",NA,NA,"dialect",NA,NA,NA
"bode1246","Bodega","Coast Miwok","Miwok-Costanoan","bode1246",NA,NA,"dialect",NA,NA,NA
"bodh1239","Bodho","Thuri","Nilotic","bodh1239",NA,NA,"dialect",NA,NA,NA
"bodi1251","Bodin","Attié","Atlantic-Congo","bodi1251",NA,NA,"dialect",NA,NA,NA
"bodi1252","Bodiman","Duala","Atlantic-Congo","bodi1252",NA,NA,"dialect",NA,NA,NA
"bodi1253","Bodi","Me’en","Surmic","bodi1253",NA,NA,"dialect",NA,NA,NA
"bodi1256","Bodic","Sino-Tibetan","Sino-Tibetan","bodi1256",NA,NA,"family",NA,NA,NA
"bodi1257","Bodish","Bodic","Sino-Tibetan","bodi1257",NA,NA,"family",NA,NA,NA
"bodo1266","Bodo Parja","Macro-Oriya","Indo-European","bodo1266","bdv",NA,"language",82.8774,19.0745,50000
"bodo1267","Bodo Gadaba","Gutob-Remo","Austroasiatic","bodo1267","gbj","gdb","language",82.771,18.3857,8000
"bodo1269","Bodo [India]","Nuclear Bodo","Sino-Tibetan","bodo1269","brx","bod","language",89.3332,26.7255,1543300
"bodo1270","Bodoe","Northwest Gbaya","Atlantic-Congo","bodo1270",NA,NA,"dialect",NA,NA,NA
"bodo1271","Bodo [Gokana]","Gokana","Atlantic-Congo","bodo1271",NA,NA,"dialect",NA,NA,NA
"bodo1272","Bodo [Central African Republic]","Unclassified Ngendan","Atlantic-Congo","bodo1272","boy",NA,"language",26,6,101
"bodo1273","Bodo [Gor]","Gor","Central Sudanic","bodo1273",NA,NA,"dialect",NA,NA,NA
"bodo1274","Bodougouka","Wojenaka","Mande","bodo1274",NA,NA,"dialect",NA,NA,NA
"bodo1278","Bodo [Mpade]","Mpade","Afro-Asiatic","bodo1278",NA,NA,"dialect",NA,NA,NA
"bodo1279","Bodo-Garo","Brahmaputran","Sino-Tibetan","bodo1279",NA,NA,"family",NA,NA,NA
"boee1238","Boe","Deg","Atlantic-Congo","boee1238",NA,NA,"dialect",NA,NA,NA
"bofi1238","Bofi","Mbodomo-Bofi","Atlantic-Congo","bofi1238","bff",NA,"language",17.3032,4.02043,23500
"boga1246","Bogandé","Western Niger Fulfulde","Atlantic-Congo","boga1246",NA,NA,"dialect",NA,NA,NA
"boga1247","Bogaya","Sahul","Bogaya","boga1247","boq",NA,"language",142.255,-5.54487,300
"boga1251","Boga","Eastern Biu-Mandara A A.1","Afro-Asiatic","boga1251","bvw",NA,"language",12.936,10.188,10000
"bogh1240","Boghomic","South Bauchi East","Afro-Asiatic","bogh1240",NA,NA,"family",NA,NA,NA
"bogh1241","Boghom","Boghomic","Afro-Asiatic","bogh1241","bux",NA,"language",10.1145,9.49679,50000
"bogo1240","Bogongo","Pande","Atlantic-Congo","bogo1240",NA,NA,"dialect",NA,NA,NA
"bogo1241","Bogor","Sundanese","Austronesian","bogo1241",NA,NA,"dialect",NA,NA,NA
"bogu1241","Boguru","Unclassified Ngendan","Atlantic-Congo","bogu1241","bqu",NA,"language",29.1344,4.49213,490
"boha1238","Bohaan","Russia Buriat","Mongolic","boha1238",NA,NA,"dialect",NA,NA,NA
"boha1242","Bohairic","Coptic","Afro-Asiatic","boha1242",NA,NA,"dialect",NA,NA,NA
"bohe1240","Bohena","Dano","Nuclear Trans New Guinea","bohe1240",NA,NA,"dialect",NA,NA,NA
"bohi1237","Bohilai","Tawala","Austronesian","bohi1237",NA,NA,"dialect",NA,NA,NA
"boho1237","Boholano","Cebuano","Austronesian","boho1237",NA,NA,"dialect",NA,NA,NA
"boht1238","Bohtan Neo-Aramaic","Bohtan","Afro-Asiatic","boht1238","bhn",NA,"language",44.482,43.6405,1000
"boht1239","Bohtan","Central Eastern Aramaic","Afro-Asiatic","boht1239",NA,NA,"family",NA,NA,NA
"bohu1238","Bohuai","Tulu-Bohuai","Austronesian","bohu1238",NA,NA,"dialect",NA,NA,NA
"boib1239","Boi Bi","Muong","Austroasiatic","boib1239",NA,NA,"dialect",NA,NA,NA
"boig1238","Boigu","Meriam","Eastern Trans-Fly","boig1238",NA,NA,"dialect",NA,NA,NA
"boik1241","Boikin","Ndu","Ndu","boik1241","bzf","boi","language",143.474,-3.68297,31328
"boin1237","Boinelang","Aulua","Austronesian","boin1237",NA,NA,"dialect",NA,NA,NA
"boje1238","Boje","Bokyi","Atlantic-Congo","boje1238",NA,NA,"dialect",NA,NA,NA
"bojp1238","Bojpury","Bhojpuri","Indo-European","bojp1238",NA,NA,"dialect",NA,NA,NA
"boka1249","Bokar","Western Tani","Sino-Tibetan","boka1249",NA,NA,"language",93.157883,27.560635,NA
"boka1250","Bokabo","Gagu","Mande","boka1250",NA,NA,"dialect",NA,NA,NA
"boka1251","Bokai","Termanu","Austronesian","boka1251",NA,NA,"dialect",NA,NA,NA
"bokh1236","Bokha-Phuma","Nuclear Core Muji","Sino-Tibetan","bokh1236",NA,NA,"family",NA,NA,NA
"bokh1237","Bokha","Bokha-Phuma","Sino-Tibetan","bokh1237","ybk",NA,"language",103.7,23.05,NA
"boki1239","Boki","Bokyi","Atlantic-Congo","boki1239",NA,NA,"dialect",NA,NA,NA
"bokk1238","Bok","Mandjak","Atlantic-Congo","bokk1238",NA,NA,"dialect",NA,NA,NA
"bokk1242","Bokkos","Ron","Afro-Asiatic","bokk1242",NA,NA,"dialect",NA,NA,NA
"boko1260","Bokoto-Gbeya","Gbaya Meridional-Occidental","Atlantic-Congo","boko1260",NA,NA,"family",NA,NA,NA
"boko1261","Bokoto","Bokoto-Gbeya","Atlantic-Congo","boko1261","bdt",NA,"language",16.6721,4.75111,130000
"boko1262","Bokoy","Ligenza","Atlantic-Congo","boko1262",NA,NA,"dialect",NA,NA,NA
"boko1263","Boko [Democratic Republic of Congo]","Ngiri Riverain Ubangi-Interieur","Atlantic-Congo","boko1263","bkp",NA,"language",18.8806,1.51612,21000
"boko1264","Bokonzi","Bomboma","Atlantic-Congo","boko1264",NA,NA,"dialect",NA,NA,NA
"boko1265","Boko-Busa","Busan","Mande","boko1265",NA,NA,"family",NA,NA,NA
"boko1266","Boko [Benin]","Boko-Busa","Mande","boko1266","bqc","bok","language",3.71771,10.5189,110000
"boko1267","Bokobaru","Boko-Busa","Mande","boko1267","bus",NA,"language",3.80058,9.52724,30000
"boko1268","Bokod","Ibaloi","Austronesian","boko1268",NA,NA,"dialect",NA,NA,NA
"boko1272","Bokotá","Buglere","Chibchan","boko1272",NA,NA,"dialect",NA,NA,NA
"bokp1240","Bokpan","Bokoto","Atlantic-Congo","bokp1240",NA,NA,"dialect",NA,NA,NA
"bokp1241","Bok Penan","Western Penan","Austronesian","bokp1241",NA,NA,"dialect",NA,NA,NA
"boku1237","Boku","Sinaugoro","Austronesian","boku1237",NA,NA,"dialect",NA,NA,NA
"bokw1238","Bokwa [Mande]","Gagu","Mande","bokw1238",NA,NA,"dialect",NA,NA,NA
"bokw1242","Bokwa","Glavda","Afro-Asiatic","bokw1242",NA,NA,"dialect",NA,NA,NA
"boky1238","Bokyi","Bendic","Atlantic-Congo","boky1238","bky",NA,"language",9.05875,6.10475,143700
"bola1240","Bolaghain","Northwest Pashayi","Indo-European","bola1240",NA,NA,"dialect",NA,NA,NA
"bola1249","Bo [Laos]","Muongic","Austroasiatic","bola1249","bgl",NA,"language",104.953,18.1866,2950
"bola1250","Bola","Bola-Bulu","Austronesian","bola1250","bnp",NA,"language",150.095,-5.55792,13746
"bola1251","Bolaang Itang","Kaidipang","Austronesian","bola1251",NA,NA,"dialect",NA,NA,NA
"bola1252","Bolango","Gorontalic","Austronesian","bola1252","bld",NA,"language",123.888,0.39044,18500
"bola1253","Bola-Bulu","Willaumez","Austronesian","bola1253",NA,NA,"family",NA,NA,NA
"bola1254","Bolanci-Bele","Ngamo-Bele","Afro-Asiatic","bola1254",NA,NA,"family",NA,NA,NA
"bole1245","Bole [Ghana]","Vagla","Atlantic-Congo","bole1245",NA,NA,"dialect",NA,NA,NA
"bole1246","Bolemba","Mbati","Atlantic-Congo","bole1246",NA,NA,"dialect",NA,NA,NA
"bole1261","Boleic","West Chadic A A.2","Afro-Asiatic","bole1261",NA,NA,"family",NA,NA,NA
"bolg1249","Bolgar","Turkic","Turkic","bolg1249",NA,NA,"family",NA,NA,NA
"bolg1250","Bolgarian","Bolgar","Turkic","bolg1250","xbo",NA,"language",NA,NA,NA
"bolg1251","Bolgo","Adamawa Bua","Atlantic-Congo","bolg1251","bvo",NA,"language",18.8076,10.9025,1800
"bolg1252","Bolgo Kubar","Bolgo","Atlantic-Congo","bolg1252",NA,NA,"dialect",NA,NA,NA
"bolg1253","Bolgo Dugag","Bolgo","Atlantic-Congo","bolg1253",NA,NA,"dialect",NA,NA,NA
"boli1255","Bolia","Bolia-Ntomba-Momngo","Atlantic-Congo","boli1255","bli","bol","language",18.0975,-1.38362,1e+05
"boli1256","Bolinao","Tina-Bolinao","Austronesian","boli1256","smk",NA,"language",119.853,16.3071,50000
"boli1260","Bolivia-Parana","Southern Maipuran","Arawakan","boli1260",NA,NA,"family",NA,NA,NA
"boli1261","Bolivian Nawa","Pano Nawa","Pano-Tacanan","boli1261",NA,NA,"family",NA,NA,NA
"boli1262","Bolivian Quechua IIC","Quechua IIC","Quechuan","boli1262",NA,"qbo","family",NA,NA,NA
"boli1263","Bolia-Ntomba-Momngo","Kela-Ntomba","Atlantic-Congo","boli1263",NA,NA,"family",NA,NA,NA
"bolo1260","Bologna Emiliano","Emiliano","Indo-European","bolo1260",NA,NA,"dialect",NA,NA,NA
"bolo1261","Bolo","Mbundu [H.20]","Atlantic-Congo","bolo1261","blv",NA,"language",15.0867,-10.3511,2627
"bolo1262","Boloki","Libinza Ngiri","Atlantic-Congo","bolo1262","bkt",NA,"language",18.4555,0.83463,4200
"bolo1263","Bolondo","Saw [sawa1252]","Atlantic-Congo","bolo1263","bzm",NA,"language",19.6181,2.46327,3000
"bolo1264","Bolo Djarma","Berakou","Central Sudanic","bolo1264",NA,NA,"dialect",NA,NA,NA
